journal	issn	url
Estoa: Revista de la facultad… Cuenca	1390-9274	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS945924652&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1390-9274&offset=0&journals=any,1390-9274
Fabrications	1033-1867	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS269013831&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1033-1867&offset=0&journals=any,1033-1867
Form: pioneering design	0885-7377	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0885-7377&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0885-7377
Frank Lloyd Wright quarterly	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21246858530003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Frank%20Lloyd%20Wright%20quarterly&offset=0&journals=any,Frank%20Lloyd%20Wright%20quarterly
Furniture history	0016-3058	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS693138956&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Furniture%20history&offset=0&journals=any,Furniture%20history
Future anterior	1549-9715	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21206845790003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1132-6409&offset=0&journals=any,1549-9715
GA document	0389-0066	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21251519010003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0389-0066&offset=0&journals=any,0389-0066
GA houses	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21224983400003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,GA%20houses&offset=0&journals=any,GA%20houses
GA Japan: environmental design	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21179092770003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,GA%20Japan:%20environmental%20design&offset=0&journals=any,GA%20Japan:%20environmental%20design
Garden history	0307-1243	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS62483247&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0307-1243&offset=0&journals=any,0307-1243
Gesta	0016-920X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0016-920X&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0016-920X
Grey room	1526-3819	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21169532310003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1526-3819&offset=0&journals=any,1526-3819
Habitat sustenable	0719-0700	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS870993478&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0719-0700&offset=0&journals=any,0719-0700
Heritage New Zealand	1175-9615	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS67767448&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1175-9615&offset=0&journals=any,1175-9615
House beautiful	0018-6422	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS39031236&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0018-6422&offset=0&journals=any,0018-6422
i2: Innovacion e investigacion en arquitectura y urbanismo	2341-0515	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS958677539&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2341-0515&offset=0&journals=any,2341-0515
Interior design	0020-5508	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0020-5508&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0020-5508
International journal of sustainable building technology and	2093-761X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS904503342&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2093-761X&offset=0&journals=any,2093-761X
Interventions/adaptive reuse : Int/AR (US)	2154-8498	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS750374593&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2154-8498&offset=0&journals=any,2154-8498
Irish architectural and decorative studies	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,Irish%20architectural%20and%20decorative%20studies&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,Irish%20architectural%20and%20decorative%20studies
Italian journal of planning practice	2239-267X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS823697071&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2239-267X&offset=0&journals=any,2239-267X
JAPA: Journal of the American Planning Association	0194-4363	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,JAPA:%20Journal%20of%20the%20American%20Planning%20Association&tab=jsearch_slot&sortby=date&vid=UCSB&facet=frbrgroupid,include,1070819522&offset=0&journals=any,JAPA:%20Journal%20of%20the%20American%20Planning%20Association
Japan architect	0448-8512	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21223233950003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0448-8512&offset=0&journals=any,0448-8512
Jian zhu xue hao = Journal of Architecture (China)	1016-3212	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS24231333&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1016-3212&offset=0&journals=any,1016-3212
Journal of architectural and planning research	0738-0895	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS60616154&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0738-0895&offset=0&journals=any,0738-0895
